VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitLoad,InitFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
CAM001,80.0,1720,PTO - MUN11 - MUN08 - MUN15 - MUN04 - MUN12 - PTO,5,9 - 12 - 10 - 22 - 10,63.0,1720,0,0,759.3,15.19,0,4328249
CAM002,60.0,1510,PTO - MUN13 - MUN09 - EST18 - EST17 - MUN05 - EST16 - EST23 - MUN03 - PTO,4,7 - 10 - 18 - 25,60.0,1510,0,0,1828.6,36.57,0,10423209
CAM003,50.0,1300,PTO - MUN02 - PTO,1,30,30.0,1300,0,0,19.4,0.39,0,110781
CAM004,40.0,1100,PTO - MUN14 - EST27 - MUN07 - MUN06 - PTO,3,8 - 17 - 15,40.0,1100,0,0,926.9,18.54,0,5283446
CAM005,30.0,870,PTO - MUN10 - PTO,1,11,11.0,870,0,0,248.7,4.97,0,1417457
