VehicleId,LoadCap,FuelCap,RouteSeq,Municipalities,Demand,InitLoad,InitFuel,RefuelStops,RefuelAmounts,TollsVisited,TollCosts,VehicleWeights,Distance,Time,FuelCost,TollCost,TotalCost
CAM001,80.0,1376,PTO - MUN09 - EST16 - MUN05 - EST17 - EST18 - MUN13 - EST23 - MUN06 - MUN07 - PTO,5,10-18-7-15-17,67.6,1376,0,0,0,0,10-18-7-15-17,2097.1,41.94,0,0,11953617
CAM002,60.0,1208,PTO - MUN02 - PTO,1,16,16.0,1208,0,0,0,0,16,19.4,0.39,0,0,110781
CAM003,50.0,1040,PTO - MUN15 - MUN11 - MUN03 - EST21 - PTO,3,10-9-18,37.0,1040,0,0,0,0,10-9-18,596.7,11.93,0,0,3401256
CAM004,40.0,1200,PTO - MUN12 - MUN04 - EST22 - MUN08 - PTO,3,5-16-17,38.6,1200,0,0,0,0,5-16-17,739.8,14.8,0,0,4216628
CAM005,30.0,696,PTO - MUN10 - PTO,1,11,11.0,696,0,0,0,0,11,248.7,4.97,0,0,1417457
CAM006,10.0,960,PTO - MUN14 - PTO,1,5,5.0,960,0,0,0,0,5,177.1,3.54,0,0,1009550
